367
35,176
50,263
56,393
81,69
87,423
102,391
124,377
135,253
144,225
158,276
164,24
189,388
195,177
252,388
298,0
318,473
325,98
388,295
398,140
400,271
426,434
431,479
435,267
454,348
577,196
594,121
603,391
92,72
187,473
372,274
530,65
48,285
137,336
4,264
265,396
134,143
180,246
429,394
16,457
211,220
546,475
570,19
4,287
47,346
568,276
257,267
546,214
157,457
561,33
169,385
2,397
398,422
235,163
204,13
157,25
243,48
136,201
215,75
459,98
250,210
167,340
390,458
308,424
447,248
132,28
67,8
359,106
357,158
186,441
477,386
332,33
347,322
268,427
502,232
36,23
623,369
377,52
400,389
454,325
510,65
52,408
454,423
598,435
127,225
335,416
353,202
564,227
193,406
396,469
386,309
493,273
260,116
269,255
567,162
480,199
515,219
321,134
503,349
321,102
101,472
414,39
14,13
38,256
38,197
328,249
402,313
42,294
82,70
63,142
405,412
67,203
82,79
38,57
375,206
430,252
164,320
465,321
308,394
430,253
198,90
359,404
379,173
15,392
517,209
28,398
611,99
482,127
417,371
567,172
95,104
89,182
540,201
614,447
371,181
46,475
237,363
574,138
292,247
431,438
267,45
455,314
77,196
212,41
200,95
351,24
26,41
543,176
369,226
509,140
616,364
277,245
171,309
211,197
439,87
220,310
516,397
411,437
387,196
307,22
93,213
598,170
75,299
34,218
332,77
176,430
150,312
588,364
637,15
111,132
619,18
119,25
106,78
221,8
255,282
594,423
199,386
422,103
460,234
562,7
62,76
43,44
391,273
232,275
356,465
147,101
301,374
120,273
146,197
84,144
544,157
408,257
182,442
565,132
82,9
349,448
71,276
103,337
569,109
476,241
407,350
608,338
318,230
291,152
96,347
175,449
217,193
310,105
567,72
423,214
333,138
445,68
443,175
463,270
467,124
284,456
419,478
306,418
151,77
492,111
97,226
182,264
112,425
187,270
433,366
404,300
598,195
546,407
575,161
296,292
165,237
515,107
133,333
360,12
449,122
168,415
241,51
97,24
16,218
344,9
440,118
558,70
498,155
59,39
158,113
1,23
526,138
557,327
405,261
86,456
628,53
128,261
526,379
242,319
202,425
497,221
255,102
45,196
627,238
121,299
392,253
396,217
557,289
88,191
0,107
527,138
77,75
276,268
379,385
469,44
383,245
569,154
532,26
167,136
618,262
525,235
638,270
202,242
399,317
447,83
1,178
85,477
501,34
252,350
407,160
130,28
351,109
564,472
224,5
539,238
276,262
309,328
634,463
88,322
340,231
398,426
554,166
242,42
204,24
635,461
227,207
414,55
438,404
51,179
257,469
94,178
389,105
317,326
565,28
241,255
632,132
60,267
294,464
637,109
549,213
125,436
546,99
197,380
392,477
114,53
1,239
159,93
540,314
223,192
299,86
493,349
580,29
111,6
251,314
562,164
358,410
34,339
284,51
308,275
392,348
78,408
614,65
85,171
61,376
310,382
16,467
50,83
316,270
565,299
382,49
333,156
202,139
465,65
595,431
617,49
94,244
193,151
170,207
313,112
575,77
626,202
1,413
254,13
193,392
585,293
415,61
115,292
342,10
358,398
528,58
632,396
95,33
440,340
